iata;type;name;coordinates;timezone;parent_name;City
ZRM;city;Sarmi;-1.83:138.72;Asia/Jayapura;Indonesia;Sarmi
TNB;city;Tanah Grogot;-1.84:-116.06;Asia/Jakarta;Indonesia;Tanah Grogot
MJL;city;Mouila;-1.8697188:11.0542052;Africa/Libreville;Gabon;Mouila
ZRI;city;Serui;-1.87:136.23;Asia/Jayapura;Indonesia;Serui
GMM;city;Gamboma;-1.87:15.87;Africa/Brazzaville;Republic of the Congo;Gamboma
OBI;city;Obidos;-1.9020444:-55.5195644;America/Manaus;Brazil;Obidos
MBC;city;Mbigou;-1.9023377:11.9062829;Africa/Libreville;Gabon;Mbigou
IGE;city;Iguela;-1.93:9.32;Africa/Libreville;Gabon;Iguela
INO;city;Inongo;-1.942419:18.289499;Africa/Kinshasa;Democratic Republic of the Congo;Inongo
ALT;city;Alenquer;-1.9424698:-54.7374382;America/Santarem;Brazil;Alenquer
KWD;city;Kawadjia;-1.95:124.97;Africa/Bangui;Central African Republic;Kawadjia
KWY;city;Kiwayu;-1.96:41.3;;Kenya;Kiwayu
KGL;city;Kigali;-1.97:30.14;Africa/Kigali;Rwanda;Kigali
OAL;city;Cacoal;-1.98:-46.22;America/Fortaleza;Brazil;Cacoal
MTE;city;Monte Alegre;-1.9989463:-54.0828906;America/Fortaleza;Brazil;Monte Alegre
VLP;city;Vila Rica;-10.0118095:-51.1136389;America/Fortaleza;Brazil;Vila Rica
CNC;city;Coconut Island;-10.0500511:143.0657108;Asia/Manila;Australia;Coconut Island
MBK;city;Matupa;-10.0582095:-54.90725;America/Cuiaba;Brazil;Matupa
KUP;city;Kupiano;-10.07:148.22;Pacific/Port_Moresby;Papua New Guinea;Kupiano
WED;city;Wedau;-10.08:150.08;Europe/Berlin;Papua New Guinea;Wedau
BDD;city;Badu Island;-10.116416:142.1275481;Australia/Brisbane;Australia;Badu Island
RNR;city;Robinson River;-10.15:148.816667;Pacific/Port_Moresby;Papua New Guinea;Robinson River
PMW;city;Palmas;-10.168891:-48.3317167;America/Sao_Paulo;Brazil;Palmas
CPN;city;Cape Rodney;-10.17:148.37;Pacific/Port_Moresby;Papua New Guinea;Cape Rodney
KOE;city;Kupang;-10.1843014:123.5948518;Asia/Jakarta;Indonesia;Kupang
AIR;city;Aripuana;-10.19:-59.46;America/Cuiaba;Brazil;Aripuana
ABW;city;Abau;-10.2:148.73;Pacific/Port_Moresby;Papua New Guinea;Abau
